"","lon","lat","name","club.to","club.from","transfer.fee","league"
"834",NA,NA,"Lucas Castro","Chievo Verona","Catania",2.98,"Serie A"
"835",NA,NA,"Valter Birsa","Chievo Verona","AC Milan",1.28,"Serie A"
"836",NA,NA,"Nicolás Spolli","Chievo Verona","Carpi",0,"Serie A"
"837",NA,NA,"Giampiero Pinzi","Chievo Verona","Udinese Calcio",0,"Serie A"
"838",NA,NA,"Filippo Di Maio","Chievo Verona","Catania U19",0,"Serie A"
"839",NA,NA,"Nikola Ninkovic","Chievo Verona","Partizan",0.468,"Serie A"
"840",NA,NA,"Ervin Zukanovic","Chievo Verona","KAA Gent",0.85,"Serie A"
"841",NA,NA,"Simone Pepe","Chievo Verona","Juventus",0,"Serie A"
"842",NA,NA,"Isaac Ntow","Chievo Verona","Brescia",0,"Serie A"
"843",NA,NA,"Marco Calderoni","Chievo Verona","Bari",0.085,"Serie A"
"844",NA,NA,"Massimo Gobbi","Chievo Verona","Parma",0,"Serie A"
"845",NA,NA,"Yohan Cabaye","Crystal Palace","Paris SG",11.82,"Premier league"
"846",NA,NA,"Connor Wickham","Crystal Palace","Sunderland",8.5,"Premier league"
"847",NA,NA,"Bakary Sako","Crystal Palace","Wolves",0,"Premier league"
"848",NA,NA,"Jonás Gutiérrez","Dep. La Coruña","Newcastle",0,"La Liga"
"849",NA,NA,"Fernando Navarro","Dep. La Coruña","Sevilla FC",0,"La Liga"
"850",NA,NA,"Pedro Mosquera","Dep. La Coruña","Elche CF",0,"La Liga"
"851",NA,NA,"Lucas","Dep. La Coruña","PAOK Saloniki",1.28,"La Liga"
"852",NA,NA,"Cani","Dep. La Coruña","Villarreal CF",0,"La Liga"
"853",NA,NA,"Szabolcs Huszti","E. Frankfurt","CC Yatai",0.213,"Bundesliga"
"854",NA,NA,"David Abraham","E. Frankfurt","TSG Hoffenheim",1.28,"Bundesliga"
"855",NA,NA,"Stefan Reinartz","E. Frankfurt","Bay. Leverkusen",0,"Bundesliga"
"856",NA,NA,"Änis Ben-Hatira","E. Frankfurt","Hertha BSC",0,"Bundesliga"
"857",NA,NA,"Luc Castaignos","E. Frankfurt","FC Twente",2.13,"Bundesliga"
"858",NA,NA,"Yanni Regäsel","E. Frankfurt","Hertha BSC",0.102,"Bundesliga"
"859",NA,NA,"Mijat Gacinovic","E. Frankfurt","Vojvodina",1.02,"Bundesliga"
"860",NA,NA,"Marco Fabián","E. Frankfurt","Guadalajara",3.15,"Bundesliga"
"861",NA,NA,"Gerard Moreno","Espanyol","Villarreal CF",1.28,"La Liga"
"862",NA,NA,"Óscar Duarte","Espanyol","Club Brugge",0.978,"La Liga"
"863",NA,NA,"Lucas Vázquez","Espanyol","R. M. Castilla",0.425,"La Liga"
"864",NA,NA,"Mickael Ciani","Espanyol","Sporting CP",0,"La Liga"
"865",NA,NA,"Papakouli Diop","Espanyol","Levante UD",0,"La Liga"
"866",NA,NA,"David Henen","Everton","Olympiacos",0.238,"Premier league"
"867",NA,NA,"Ramiro Funes Mori","Everton","River Plate",10.97,"Premier league"
"868",NA,NA,"Shani Tarashaj","Everton","Grasshoppers",3.4,"Premier league"
"869",NA,NA,"Tom Cleverley","Everton","Manchester Utd.",0,"Premier league"
"870",NA,NA,"Oumar Niasse","Everton","Loko Moscow",15.22,"Premier league"
"871",NA,NA,"Aaron Lennon","Everton","Spurs",5.1,"Premier league"
"872",NA,NA,"Leandro Rodríguez","Everton","River Plate",0.595,"Premier league"
"873",NA,NA,"Gerard Deulofeu","Everton","FC Barcelona",5.1,"Premier league"
"874",NA,NA,"Daniel Opare","FC Augsburg","FC Porto",0,"Bundesliga"
"875",NA,NA,"Dominik Kohr","FC Augsburg","Bay. Leverkusen",1.19,"Bundesliga"
"876",NA,NA,"Konstantinos Stafylidis","FC Augsburg","Bay. Leverkusen",2.13,"Bundesliga"
"877",NA,NA,"Piotr Trochowski","FC Augsburg","Sevilla FC",0,"Bundesliga"
"878",NA,NA,"Philipp Max","FC Augsburg","Karlsruher SC",3.23,"Bundesliga"
"879",NA,NA,"Albian Ajeti","FC Augsburg","FC Basel",0.85,"Bundesliga"
"880",NA,NA,"Ja-Cheol Koo","FC Augsburg","1.FSV Mainz 05",4.25,"Bundesliga"
"881",NA,NA,"Jeffrey Gouweleeuw","FC Augsburg","AZ Alkmaar",2.55,"Bundesliga"
"882",NA,NA,"Aleix Vidal","FC Barcelona","Sevilla FC",14.45,"La Liga"
"883",NA,NA,"Arda Turan","FC Barcelona","Atlético Madrid",28.9,"La Liga"
"884",NA,NA,"Luca Bittante","FC Empoli","Fiorentina",0.68,"Serie A"
"885",NA,NA,"Riccardo Saponara","FC Empoli","AC Milan",3.4,"Serie A"
"886",NA,NA,"Kastriot Dermaku","FC Empoli","AS Melfi",0,"Serie A"
"887",NA,NA,"Michele Camporese","FC Empoli","Fiorentina",0.425,"Serie A"
"888",NA,NA,"Marco Zambelli","FC Empoli","Brescia",0,"Serie A"
"889",NA,NA,"Rade Krunic","FC Empoli","Borac Cacak",0,"Serie A"
"890",NA,NA,"Andrea Costa","FC Empoli","Parma",0,"Serie A"
"891",NA,NA,"Darío Lezcano","FC Ingolstadt","FC Luzern",2.13,"Bundesliga"
"892",NA,NA,"Elias Kachunga","FC Ingolstadt","SC Paderborn",1.28,"Bundesliga"
"893",NA,NA,"Markus Suttner","FC Ingolstadt","Austria Vienna",0.595,"Bundesliga"
"894",NA,NA,"Maurice Multhaup","FC Ingolstadt","FC Schalke 04",0.425,"Bundesliga"
"895",NA,NA,"Romain Brégerie","FC Ingolstadt","SV Darmstadt 98",0,"Bundesliga"
"896",NA,NA,"Pape Paye","FC Lorient","Dijon",0,"Ligue 1"
"897",NA,NA,"Jimmy Cabot","FC Lorient","Troyes",1.53,"Ligue 1"
"898",NA,NA,"Benjamin Moukandjo","FC Lorient","Reims",1.28,"Ligue 1"
"899",NA,NA,"Moryké Fofana","FC Lorient","Lilleström SK",0.34,"Ligue 1"
"900",NA,NA,"Waris Majeed","FC Lorient","Trabzonspor",3.83,"Ligue 1"
"901",NA,NA,"Zargo Touré","FC Lorient","AC Le Havre",1.28,"Ligue 1"
"902",NA,NA,"Kolbeinn Sigthórsson","FC Nantes","AFC Ajax",2.55,"Ligue 1"
"903",NA,NA,"Guillaume Gillet","FC Nantes","RSC Anderlecht",1.7,"Ligue 1"
"904",NA,NA,"Emiliano Sala","FC Nantes","G. Bordeaux",0.85,"Ligue 1"
"905",NA,NA,"Adrien Thomasson","FC Nantes","Évian",0.68,"Ligue 1"
"906",NA,NA,"Lorik Cana","FC Nantes","Lazio",0.17,"Ligue 1"
"907",NA,NA,"Wilfried Moimbé","FC Nantes","Stade Brest 29",0,"Ligue 1"
"908",NA,NA,"Alessandro Schöpf","FC Schalke 04","1.FC Nuremberg",4.25,"Bundesliga"
"909",NA,NA,"Matija Nastasic","FC Schalke 04","Manchester City",8.08,"Bundesliga"
"910",NA,NA,"Franco Di Santo","FC Schalke 04","Werder Bremen",5.1,"Bundesliga"
"911",NA,NA,"Johannes Geis","FC Schalke 04","1.FSV Mainz 05",10.2,"Bundesliga"
"912",NA,NA,"Júnior Caiçara","FC Schalke 04","Ludogorets",3.83,"Bundesliga"
"913",NA,NA,"Sascha Riether","FC Schalke 04","SC Freiburg",0,"Bundesliga"
"914",NA,NA,"Mario Suárez","Fiorentina","Atlético Madrid",12.75,"Serie A"
"915",NA,NA,"Nikola Kalinic","Fiorentina","Dnipro",4.68,"Serie A"
"916",NA,NA,"Jaime Báez","Fiorentina","Juventud",1.96,"Serie A"
"917",NA,NA,"Joan Verdú","Fiorentina","Baniyas SC",0,"Serie A"
"918",NA,NA,"Mauro Zárate","Fiorentina","West Ham",1.79,"Serie A"
"919",NA,NA,"Andrés Schetino","Fiorentina","CA Fénix",2.98,"Serie A"
"920",NA,NA,"Luca Bittante","Fiorentina","Avellino",0.425,"Serie A"
"921",NA,NA,"Gilberto","Fiorentina","Botafogo",1.7,"Serie A"
"922",NA,NA,"Oliver Kragl","Frosinone","SV  Ried",0.34,"Serie A"
"923",NA,NA,"Aleksandar Tonev","Frosinone","Aston Villa",0,"Serie A"
"924",NA,NA,"Modibo Diakité","Frosinone","Cagliari Calcio",0,"Serie A"
"925",NA,NA,"Issiar Dia","G. Ajaccio","Lekhwiya",0,"Ligue 1"
"926",NA,NA,"Jacques Zoua","G. Ajaccio","Hamburger SV",0,"Ligue 1"
"927",NA,NA,"Alassane Touré","G. Ajaccio","FC Tours",0,"Ligue 1"
"928",NA,NA,"Amine Chermiti","G. Ajaccio","FC Zürich",0,"Ligue 1"
"929",NA,NA,"Damjan Djokovic","G. Ajaccio","Bologna",0,"Ligue 1"
"930",NA,NA,"Mauro Arambarri","G. Bordeaux","Defensor",2.55,"Ligue 1"
"931",NA,NA,"Pablo","G. Bordeaux","Ponte Preta",1.7,"Ligue 1"
"932",NA,NA,"Milan Gajic","G. Bordeaux","OFK Beograd",0.85,"Ligue 1"
"933",NA,NA,"Malcom","G. Bordeaux","Corinthians",4.25,"Ligue 1"
"934",NA,NA,"Goran Pandev","Genoa","Galatasaray",0,"Serie A"
"935",NA,NA,"Ezequiel Muñoz","Genoa","US Palermo",0,"Serie A"
"936",NA,NA,"Manuel Milinkovic","Genoa","Salernitana",0,"Serie A"
"937",NA,NA,"Darko Lazovic","Genoa","Red Star",0,"Serie A"
"938",NA,NA,"Leonardo Pavoletti","Genoa","Sassuolo",2.55,"Serie A"
"939",NA,NA,"Riccardo Fiamozzi","Genoa","Pescara",1.28,"Serie A"
"940",NA,NA,"Diego Capel","Genoa","Sporting CP",1.11,"Serie A"
"941",NA,NA,"Serge Gakpé","Genoa","FC Nantes",0,"Serie A"
"942",NA,NA,"Luca Rigoni","Genoa","US Palermo",0.425,"Serie A"
"943",NA,NA,"Issa Cissokho","Genoa","FC Nantes",0.425,"Serie A"
"944",NA,NA,"Henok Goitom","Getafe CF","AIK Solna",0,"La Liga"
"945",NA,NA,"Cala","Getafe CF","Granada CF",0,"La Liga"
"946",NA,NA,"Damián Suárez","Getafe CF","Elche CF",0,"La Liga"
"947",NA,NA,"Rene Krhin","Granada CF","Inter",1.11,"La Liga"
"948",NA,NA,"David Barral","Granada CF","Al-Dhafra SCC",0,"La Liga"
"949",NA,NA,"Yrondu Musavu-King","Granada CF","SM Caen",0,"La Liga"
"950",NA,NA,"Ricardo Costa","Granada CF","PAOK Saloniki",0,"La Liga"
"951",NA,NA,"Gaspar Íñiguez","Granada CF","Argentinos",1.02,"La Liga"
"952",NA,NA,"Isaac Cuenca","Granada CF","Bursaspor",0,"La Liga"
"953",NA,NA,"Aridane Hernández","Granada CF","CD Eldense",0,"La Liga"
"954",NA,NA,"David Lombán","Granada CF","Elche CF",0,"La Liga"
"955",NA,NA,"Jimmy Briand","Guingamp","Hannover 96",0,"Ligue 1"
"956",NA,NA,"Nicolas Benezet","Guingamp","Évian",1.02,"Ligue 1"
"957",NA,NA,"Nill De Pauw","Guingamp","KSC Lokeren",0.638,"Ligue 1"
"958",NA,NA,"Jonathan Martins Pereira","Guingamp","Troyes",0,"Ligue 1"
"959",NA,NA,"Nabil Bahoui","Hamburger SV","Ahli",0,"Bundesliga"
"960",NA,NA,"Sven Schipplock","Hamburger SV","TSG Hoffenheim",2.13,"Bundesliga"
"961",NA,NA,"Michael Gregoritsch","Hamburger SV","VfL Bochum",2.55,"Bundesliga"
"962",NA,NA,"Batuhan Altintas","Hamburger SV","Bursaspor",0.34,"Bundesliga"
"963",NA,NA,"Gotoku Sakai","Hamburger SV","VfB Stuttgart",0.595,"Bundesliga"
"964",NA,NA,"Aaron Hunt","Hamburger SV","VfL Wolfsburg",2.55,"Bundesliga"
"965",NA,NA,"Lewis Holtby","Hamburger SV","Spurs",5.53,"Bundesliga"
"966",NA,NA,"Albin Ekdal","Hamburger SV","Cagliari Calcio",3.83,"Bundesliga"
"967",NA,NA,"Uffe Bech","Hannover 96","Nordsjaelland",1.7,"Bundesliga"
"968",NA,NA,"Felix Klaus","Hannover 96","SC Freiburg",2.55,"Bundesliga"
"969",NA,NA,"Iver Fossum","Hannover 96","Strømsgodset",1.7,"Bundesliga"
"970",NA,NA,"Mevlüt Erdinc","Hannover 96","Saint-Étienne",2.81,"Bundesliga"
"971",NA,NA,"Oliver Sorg","Hannover 96","SC Freiburg",2.98,"Bundesliga"
"972",NA,NA,"Marius Wolf","Hannover 96","1860 Munich",1.28,"Bundesliga"
"973",NA,NA,"Charlison Benschop","Hannover 96","F. Düsseldorf",1.28,"Bundesliga"
"974",NA,NA,"Hotaru Yamaguchi","Hannover 96","Cerezo Osaka",0.85,"Bundesliga"
"975",NA,NA,"Hugo Almeida","Hannover 96","Anzhi",0,"Bundesliga"
"976",NA,NA,"Leandro Greco","Hellas Verona","Genoa",0.255,"Serie A"
"977",NA,NA,"Federico Viviani","Hellas Verona","AS Roma",3.4,"Serie A"
"978",NA,NA,"Michelangelo Albertazzi","Hellas Verona","AC Milan",0,"Serie A"
"979",NA,NA,"Giampaolo Pazzini","Hellas Verona","AC Milan",0,"Serie A"
"980",NA,NA,"Mattia Valoti","Hellas Verona","UC AlbinoLeffe",0,"Serie A"
"981",NA,NA,"Filip Helander","Hellas Verona","Malmö FF",0.85,"Serie A"
"982",NA,NA,"Eros Pisano","Hellas Verona","US Palermo",0.85,"Serie A"
"983",NA,NA,"Luca Siligardi","Hellas Verona","AS Livorno",0,"Serie A"
"984",NA,NA,"Samuel Souprayen","Hellas Verona","Dijon",0,"Serie A"
"985",NA,NA,"Vladimír Darida","Hertha BSC","SC Freiburg",3.23,"Bundesliga"
"986",NA,NA,"Niklas Stark","Hertha BSC","1.FC Nuremberg",2.55,"Bundesliga"
"987",NA,NA,"Sinan Kurt","Hertha BSC","Bayern Munich ",0.425,"Bundesliga"
"988",NA,NA,"Mitchell Weiser","Hertha BSC","Bayern Munich ",0,"Bundesliga"
"989",NA,NA,"Geoffrey Kondogbia","Inter","Monaco",26.35,"Serie A"
"990",NA,NA,"Xherdan Shaqiri","Inter","Bayern Munich ",12.75,"Serie A"
"991",NA,NA,"Jeison Murillo","Inter","Granada CF",6.8,"Serie A"
"992",NA,NA,"Ivan Perisic","Inter","VfL Wolfsburg",13.6,"Serie A"
"993",NA,NA,"Felipe Melo","Inter","Galatasaray",3.15,"Serie A"
"994",NA,NA,"Davide Santon","Inter","Newcastle",3.15,"Serie A"
"995",NA,NA,"Mario Mandzukic","Juventus","Atlético Madrid",16.15,"Serie A"
"996",NA,NA,"Roberto Pereyra","Juventus","Udinese Calcio",11.9,"Serie A"
"997",NA,NA,"Simone Zaza","Juventus","Sassuolo",15.3,"Serie A"
"998",NA,NA,"Alex Sandro","Juventus","FC Porto",22.1,"Serie A"
"999",NA,NA,"Paulo Dybala","Juventus","US Palermo",27.2,"Serie A"
"1000",NA,NA,"Andrés Tello","Juventus","Envigado",1.19,"Serie A"
"1001",NA,NA,"Mame Thiam","Juventus","Virtus Lanciano",1.19,"Serie A"
"1002",NA,NA,"Hernanes","Juventus","Inter",11.05,"Serie A"
"1003",NA,NA,"Rolando Mandragora","Juventus","Genoa",5.1,"Serie A"
"1004",NA,NA,"Sami Khedira","Juventus","Real Madrid",0,"Serie A"
"1005",NA,NA,"Alberto Cerri","Juventus","Parma",0,"Serie A"
"1006",NA,NA,"Milan Bisevac","Lazio","Olympique Lyon",0,"Serie A"
"1007",NA,NA,"Dusan Basta","Lazio","Udinese Calcio",4.25,"Serie A"
"1008",NA,NA,"Wesley Hoedt","Lazio","AZ Alkmaar",0,"Serie A"
"1009",NA,NA,"Ronaldo","Lazio","FC Empoli",0,"Serie A"
"1010",NA,NA,"Ricardo Kishna","Lazio","AFC Ajax",2.55,"Serie A"
"1011",NA,NA,"Patric","Lazio","FC Barcelona B",0,"Serie A"
"1012",NA,NA,"Sergej Milinkovic-Savic","Lazio","KRC Genk",7.65,"Serie A"
"1013",NA,NA,"Maurício","Lazio","Sporting CP",2.25,"Serie A"
"1014",NA,NA,"Riccardo Serpieri","Lazio","Cosenza",0,"Serie A"
"1015",NA,NA,"Shinji Okazaki","Leicester","1.FSV Mainz 05",9.35,"Premier league"
"1016",NA,NA,"N'Golo Kanté","Leicester","SM Caen",7.65,"Premier league"
"1017",NA,NA,"Daniel Amartey","Leicester","FC Copenhagen",5.61,"Premier league"
"1018",NA,NA,"Gökhan Inler","Leicester","SSC Napoli",5.95,"Premier league"
"1019",NA,NA,"Robert Huth","Leicester","Stoke City",3.57,"Premier league"
"1020",NA,NA,"Yohan Benalouane","Leicester","Atalanta",5.95,"Premier league"
"1021",NA,NA,"Demarai Gray","Leicester","Birmingham",4.34,"Premier league"
"1022",NA,NA,"Christian Fuchs","Leicester","FC Schalke 04",0,"Premier league"
"1023",NA,NA,"Ángel Trujillo","Levante UD","UD Almería",0.85,"La Liga"
"1024",NA,NA,"Deyverson","Levante UD","Belenenses",1.53,"La Liga"
"1025",NA,NA,"Mauricio Cuero","Levante UD","CD La Equidad",2.72,"La Liga"
"1026",NA,NA,"Verza","Levante UD","UD Almería",0,"La Liga"
"1027",NA,NA,"Joan Verdú","Levante UD","Fiorentina",0,"La Liga"
"1028",NA,NA,"Carl Medjani","Levante UD","Trabzonspor",0,"La Liga"
"1029",NA,NA,"Zouhair Feddal","Levante UD","Parma",0,"La Liga"
"1030",NA,NA,"Christian Benteke","Liverpool","Aston Villa",39.53,"Premier league"
"1031",NA,NA,"Roberto Firmino","Liverpool","TSG Hoffenheim",34.85,"Premier league"
"1032",NA,NA,"Nathaniel Clyne","Liverpool","Southampton",15.05,"Premier league"
"1033",NA,NA,"Joe Gomez","Liverpool","Charlton",4.17,"Premier league"
"1034",NA,NA,"James Milner","Liverpool","Manchester City",0,"Premier league"
"1035",NA,NA,"Danny Ings","Liverpool","Burnley FC",7.06,"Premier league"
"1036",NA,NA,"Marko Grujic","Liverpool","Red Star",5.95,"Premier league"
"1037",NA,NA,"Baptiste Guillaume","LOSC Lille","Lens",3.4,"Ligue 1"
"1038",NA,NA,"Sehrou Guirassy","LOSC Lille","Stade Laval",0.425,"Ligue 1"
"1039",NA,NA,"Renato Civelli","LOSC Lille","Bursaspor",0,"Ligue 1"
"1040",NA,NA,"Mounir Obbadi","LOSC Lille","Monaco",0,"Ligue 1"
"1041",NA,NA,"Lenny Nangis","LOSC Lille","SM Caen",0.85,"Ligue 1"
"1042",NA,NA,"Eric Bauthéac","LOSC Lille","OGC Nice",2.04,"Ligue 1"
"1043",NA,NA,"Ibrahim Amadou","LOSC Lille","AS Nancy",1.7,"Ligue 1"
"1044",NA,NA,"Junior Tallo","LOSC Lille","AS Roma",0.85,"Ligue 1"
"1045",NA,NA,"Yassine Benzia","LOSC Lille","Olympique Lyon",0.85,"Ligue 1"
"1046",NA,NA,"Charles","Málaga CF","Celta de Vigo",0.425,"La Liga"
"1047",NA,NA,"Fábio Espinho","Málaga CF","Ludogorets",0,"La Liga"
"1048",NA,NA,"Nordin Amrabat","Málaga CF","Galatasaray",2.98,"La Liga"
"1049",NA,NA,"Federico Ricca","Málaga CF","Danubio FC",2.13,"La Liga"
"1050",NA,NA,"Chory Castro","Málaga CF","Real Sociedad",0,"La Liga"
"1051",NA,NA,"Adnane Tighadouini","Málaga CF","NAC Breda",1.02,"La Liga"
"1052",NA,NA,"Patrick Roberts","Manchester City","Fulham FC",12.75,"Premier league"
"1053",NA,NA,"Nicolás Otamendi","Manchester City","Valencia CF",37.91,"Premier league"
"1054",NA,NA,"Raheem Sterling","Manchester City","Liverpool",53.13,"Premier league"
"1055",NA,NA,"Fabian Delph","Manchester City","Aston Villa",9.78,"Premier league"
"1056",NA,NA,"Enes Ünal","Manchester City","Bursaspor",2.55,"Premier league"
"1057",NA,NA,"Anthony Cáceres","Manchester City","Central Coast Mariners",0.272,"Premier league"
"1058",NA,NA,"Kevin De Bruyne","Manchester City","VfL Wolfsburg",62.9,"Premier league"
"1059",NA,NA,"Rubén Sobrino","Manchester City","Ponferradina",0.234,"Premier league"
"1060",NA,NA,"Luke Brattan","Manchester City","Brisbane Roar",0,"Premier league"
"1061",NA,NA,"Florian Lejeune","Manchester City","Girona FC",0.255,"Premier league"
"1062",NA,NA,"Bastian Schweinsteiger","Manchester Utd.","Bayern Munich ",7.65,"Premier league"
"1063",NA,NA,"Morgan Schneiderlin","Manchester Utd.","Southampton",29.75,"Premier league"
"1064",NA,NA,"Matteo Darmian","Manchester Utd.","Torino",15.3,"Premier league"
"1065",NA,NA,"Memphis Depay","Manchester Utd.","PSV Eindhoven",28.9,"Premier league"
"1066",NA,NA,"Anthony Martial","Manchester Utd.","Monaco",42.5,"Premier league"
"1067",NA,NA,"Karim Rekik","Marseille","Manchester City",4.25,"Ligue 1"
"1068",NA,NA,"Abou Diaby","Marseille","Arsenal",0,"Ligue 1"
"1069",NA,NA,"Bouna Sarr","Marseille","FC Metz",1.7,"Ligue 1"
"1070",NA,NA,"Georges-Kevin N'Koudou","Marseille","FC Nantes",1.28,"Ligue 1"
"1071",NA,NA,"Rolando","Marseille","FC Porto",1.28,"Ligue 1"
"1072",NA,NA,"Lucas Ocampos","Marseille","Monaco",6.38,"Ligue 1"
"1073",NA,NA,"André Zambo Anguissa","Marseille","Stade Reims U19",0,"Ligue 1"
"1074",NA,NA,"Gabriel Boschilia","Monaco","São Paulo",7.7,"Ligue 1"
"1075",NA,NA,"Adama Traoré","Monaco","LOSC Lille",11.9,"Ligue 1"
"1076",NA,NA,"Rony Lopes","Monaco","Manchester City",10.2,"Ligue 1"
"1077",NA,NA,"Jemerson","Monaco","Atlético-MG",9.35,"Ligue 1"
"1078",NA,NA,"Ivan Cavaleiro","Monaco","Benfica",12.75,"Ligue 1"
"1079",NA,NA,"Adama Traoré","Monaco","LOSC Lille",11.9,"Ligue 1"
"1080",NA,NA,"Thomas Lemar","Monaco","SM Caen",3.4,"Ligue 1"
"1081",NA,NA,"Guido Carrillo","Monaco","Estudiantes",7.65,"Ligue 1"
"1082",NA,NA,"Fabinho","Monaco","Rio Ave FC",5.1,"Ligue 1"
"1083",NA,NA,"Allan Saint-Maximin","Monaco","Saint-Étienne",4.25,"Ligue 1"
"1084",NA,NA,"Corentin Jean","Monaco","Troyes",3.4,"Ligue 1"
"1085",NA,NA,"Farès Bahlouli","Monaco","Olympique Lyon",2.98,"Ligue 1"
"1086",NA,NA,"Vágner Love","Monaco","Corinthians",1.28,"Ligue 1"
"1087",NA,NA,"Ryad Boudebouz","Montpellier","SC Bastia",1.45,"Ligue 1"
"1088",NA,NA,"Casimir Ninga","Montpellier","Mangasport",0.064,"Ligue 1"
"1089",NA,NA,"William Rémy","Montpellier","Dijon",0,"Ligue 1"
"1090",NA,NA,"Chancel Mbemba","Newcastle","RSC Anderlecht",10.2,"Premier league"
"1091",NA,NA,"Jonjo Shelvey","Newcastle","Swansea",13.6,"Premier league"
"1092",NA,NA,"Aleksandar Mitrovic","Newcastle","RSC Anderlecht",15.73,"Premier league"
"1093",NA,NA,"Ivan Toney","Newcastle","Northampt. Town",0.604,"Premier league"
"1094",NA,NA,"Andros Townsend","Newcastle","Spurs",13.35,"Premier league"
"1095",NA,NA,"Henri Saivet","Newcastle","G. Bordeaux",5.1,"Premier league"
"1096",NA,NA,"Florian Thauvin","Newcastle","Marseille",15.6,"Premier league"
"1097",NA,NA,"Georginio Wijnaldum","Newcastle","PSV Eindhoven",17,"Premier league"
"1098",NA,NA,"Steven Naismith","Norwich","Everton",9.35,"Premier league"
"1099",NA,NA,"Timm Klose","Norwich","VfL Wolfsburg",9.35,"Premier league"
"1100",NA,NA,"Robbie Brady","Norwich","Hull City",8.42,"Premier league"
"1101",NA,NA,"Graham Dorrans","Norwich","West Brom",3.49,"Premier league"
"1102",NA,NA,"Ivo Pinto","Norwich","Dinamo Zagreb",3.15,"Premier league"
"1103",NA,NA,"Matt Jarvis","Norwich","West Ham",2.89,"Premier league"
"1104",NA,NA,"Youssouf Mulumbu","Norwich","West Brom",0,"Premier league"
"1105",NA,NA,"Mickaël Le Bihan","OGC Nice","AC Le Havre",1.28,"Ligue 1"
"1106",NA,NA,"Jean Michaël Seri","OGC Nice","Paços Ferreira",0.85,"Ligue 1"
"1107",NA,NA,"Rémi Walter","OGC Nice","AS Nancy",0.85,"Ligue 1"
"1108",NA,NA,"Maxime Le Marchand","OGC Nice","AC Le Havre",0.51,"Ligue 1"
"1109",NA,NA,"Sergi Darder","Olympique Lyon","Málaga CF",11.14,"Ligue 1"
"1110",NA,NA,"Mapou Yanga-Mbiwa","Olympique Lyon","AS Roma",7.99,"Ligue 1"
"1111",NA,NA,"Claudio Beauvue","Olympique Lyon","Guingamp",5.1,"Ligue 1"
"1112",NA,NA,"Mathieu Valbuena","Olympique Lyon","Dinamo Moscow",5.1,"Ligue 1"
"1113",NA,NA,"Rafael","Olympique Lyon","Manchester Utd.",2.72,"Ligue 1"
